Player,Club,Competition,Age,Position,Minutes Played,Apps,Goals,Assists,xG,xA,Shots,Shots On Target,Key Passes,Pass Accuracy,Progressive Passes,Progressive Carries,Dribbles Completed,Accurate Crosses,Touches In Box,Aerial Duels Won,Aerials Won %,Duels Won %,Tackles Won,Interceptions,Recoveries,Clearances,Blocks,Fouls,Yellow Cards,Red Cards,Saves,Goals Conceded,Clean Sheets,High Claims,Market Value
Corce Elice,Belos FC,Eredivisie,17,GK,2023,32,0,0,,,,,10.0,80.9,228.0,21.0,66.0,24.0,69.0,89.0,61.0,45.0,56.0,68.0,194.0,41.0,14.0,39.0,3,0,86.0,26.0,5.0,23.0,27283372
Silmir Golzar,Belos FC,Eredivisie,23,GK,1690,24,0,0,,,,,13.0,83.0,73.0,39.0,38.0,21.0,64.0,11.0,68.5,54.2,17.0,43.0,71.0,39.0,9.0,37.0,8,0,77.0,18.0,4.0,17.0,3573482
Kalgio Jorvic,Belos FC,Eredivisie,27,CB,589,7,0,0,0.22,0.55,3.0,1.0,9.0,74.9,26.0,31.0,16.0,7.0,29.0,9.0,53.6,43.1,10.0,9.0,68.0,14.0,5.0,7.0,4,0,,,,,7837365
Jorfal Elirin,Belos FC,Eredivisie,31,RB,973,13,0,0,0.42,1.82,7.0,2.0,7.0,66.5,22.0,48.0,24.0,8.0,9.0,39.0,67.9,60.4,10.0,29.0,67.0,38.0,4.0,22.0,3,0,,,,,3893819
Nevez Silez,Belos FC,Eredivisie,20,CM,1092,13,1,0,0.52,1.62,5.0,1.0,22.0,65.8,22.0,40.0,34.0,3.0,3.0,35.0,54.0,61.1,24.0,19.0,59.0,42.0,8.0,16.0,9,0,,,,,16475550
Arnen Ostic,Belos FC,Eredivisie,25,CM,401,6,0,0,0.57,0.87,4.0,1.0,1.0,87.9,34.0,14.0,10.0,2.0,2.0,15.0,48.9,41.2,8.0,7.0,15.0,18.0,5.0,8.0,7,0,,,,,1466242
Farhus Armir,Belos FC,Eredivisie,19,ST,1544,19,4,3,4.9,3.08,71.0,28.0,20.0,87.8,35.0,88.0,26.0,11.0,35.0,34.0,33.9,45.0,26.0,39.0,110.0,29.0,19.0,32.0,2,0,,,,,3396694
Silzar Cornen,Belos FC,Eredivisie,24,CB,2217,33,0,1,2.03,3.61,40.0,12.0,61.0,76.1,196.0,133.0,7.0,22.0,107.0,55.0,65.3,61.4,32.0,48.0,252.0,30.0,25.0,38.0,9,0,,,,,5677593
Eliez Farpel,Belos FC,Eredivisie,30,ST,2621,33,1,0,2.05,1.14,39.0,20.0,26.0,85.8,81.0,29.0,26.0,31.0,127.0,115.0,60.1,53.5,12.0,31.0,220.0,50.0,20.0,34.0,4,0,,,,,1172988
Cornen Quirin,Belos FC,Eredivisie,26,RB,1739,19,0,0,2.12,1.13,5.0,1.0,14.0,87.1,88.0,43.0,12.0,7.0,9.0,40.0,33.5,42.1,33.0,17.0,121.0,50.0,4.0,37.0,3,0,,,,,2450087
Kaldin Mordin,Belos FC,Eredivisie,30,ST,2804,38,5,4,6.64,2.44,43.0,12.0,38.0,90.7,204.0,31.0,49.0,4.0,115.0,57.0,64.1,53.9,59.0,28.0,186.0,83.0,7.0,55.0,4,0,,,,,7392974
Rosrin Ivafal,Belos FC,Eredivisie,28,CB,1256,15,0,1,2.47,1.54,21.0,7.0,11.0,76.4,30.0,31.0,19.0,16.0,82.0,13.0,45.1,49.3,25.0,14.0,51.0,10.0,5.0,26.0,1,0,,,,,1190848
Torsen Elisen,Belos FC,Eredivisie,24,AM,1278,22,6,5,7.75,5.08,42.0,11.0,20.0,82.0,86.0,28.0,35.0,11.0,54.0,41.0,66.9,53.4,29.0,33.0,95.0,22.0,16.0,25.0,0,0,,,,,18889134
Farba Golnen,Belos FC,Eredivisie,24,CB,1369,15,0,0,2.16,2.42,13.0,5.0,24.0,69.5,106.0,27.0,28.0,8.0,63.0,36.0,51.3,62.2,9.0,25.0,90.0,49.0,4.0,18.0,8,0,,,,,4964520
Mornen Ostpel,Belos FC,Eredivisie,27,CM,1926,22,1,0,1.68,3.04,27.0,7.0,37.0,87.3,92.0,23.0,22.0,12.0,123.0,47.0,38.8,64.0,37.0,38.0,151.0,68.0,3.0,34.0,3,0,,,,,7106648
Kalic Ivace,Belos FC,Eredivisie,27,RB,1546,18,0,1,0.68,2.23,24.0,9.0,16.0,72.5,44.0,17.0,29.0,17.0,56.0,21.0,51.0,48.2,26.0,34.0,70.0,24.0,15.0,28.0,3,0,,,,,2927210
Quifal Silhus,Belos FC,Eredivisie,30,DM,1880,31,1,0,2.64,4.49,34.0,9.0,8.0,80.7,115.0,24.0,17.0,26.0,46.0,26.0,54.6,64.5,21.0,32.0,177.0,61.0,23.0,35.0,1,0,,,,,2594781
Ivadin Elilan,Belos FC,Eredivisie,21,CB,2900,42,0,0,0.44,5.29,30.0,13.0,12.0,88.5,64.0,58.0,49.0,47.0,12.0,17.0,65.1,62.5,66.0,53.0,221.0,115.0,23.0,29.0,3,0,,,,,3153790
Nevzar Roshus,Belos FC,Eredivisie,22,AM,1311,18,1,1,1.97,1.07,27.0,7.0,4.0,78.4,55.0,57.0,32.0,10.0,64.0,22.0,49.5,59.0,20.0,29.0,91.0,53.0,3.0,16.0,1,0,,,,,5267001
Belrin Nevgio,Belos FC,Eredivisie,26,RB,1861,29,1,0,3.63,1.8,23.0,6.0,10.0,79.3,97.0,47.0,12.0,12.0,101.0,55.0,31.5,63.1,39.0,32.0,148.0,49.0,5.0,23.0,7,0,,,,,4785476
Dantov Lunhus,Belos FC,Eredivisie,27,CB,1264,22,0,0,1.97,1.44,24.0,11.0,25.0,92.7,80.0,12.0,3.0,5.0,5.0,28.0,60.5,41.4,10.0,24.0,82.0,46.0,5.0,13.0,7,0,,,,,2656480
Silfal Lunzar,Belos FC,Eredivisie,34,AM,1745,27,5,2,5.23,1.81,52.0,24.0,20.0,66.8,41.0,20.0,8.0,20.0,9.0,71.0,62.3,41.3,11.0,25.0,167.0,15.0,10.0,25.0,6,0,,,,,1539304
