Jugador;Equipo;Liga;Edad;Demarcación;Minutos jugados;PJ;Goles;Asistencias;Goles esperados;Asistencias esperadas;Remates;Remates a puerta;Pases clave;Precisión pases;Pases progresivos;Conducciones progresivas;Regates completados;Centros acertados;Toques en área;Duelos aéreos ganados;% duelos aéreos;% duelos;Entradas ganadas;Intercepciones;Recuperaciones;Despejes;Bloqueos;Faltas cometidas;Tarjetas amarillas;Tarjetas rojas;Paradas;Goles encajados;Porterías a cero;Salidas;Valor de mercado
Elinen Jorez;Silrin FC;LaLiga Hypermotion;23;POR;1772;27;0;0;;;;;39.0;81.1;42.0;33.0;16.0;23.0;63.0;21.0;56.2;56.5;14.0;57.0;85.0;14.0;19.0;13.0;8;0;90.0;15.0;9.0;13.0;7480388
Ostfal Hensen;Silrin FC;LaLiga Hypermotion;24;POR;2085;36;0;0;;;;;15.0;64.9;90.0;24.0;16.0;5.0;26.0;20.0;43.2;54.6;19.0;14.0;142.0;27.0;7.0;41.0;8;1;124.0;53.0;8.0;22.0;57086
Elirin Morba;Silrin FC;LaLiga Hypermotion;26;DC;2455;28;0;1;4.15;6.18;22.0;10.0;38.0;71.9;48.0;52.0;28.0;30.0;79.0;10.0;45.1;56.9;44.0;72.0;275.0;40.0;24.0;47.0;5;0;;;;;4457710
Corgio Elivic;Silrin FC;LaLiga Hypermotion;35;Lateral derecho;1937;26;0;0;2.95;3.44;18.0;7.0;22.0;73.5;96.0;39.0;33.0;11.0;48.0;35.0;65.5;58.4;26.0;34.0;104.0;60.0;3.0;14.0;5;0;;;;;356590
Farmir Rosrin;Silrin FC;LaLiga Hypermotion;25;DC;2314;27;1;3;4.24;1.33;14.0;6.0;31.0;74.5;88.0;106.0;29.0;32.0;91.0;16.0;37.6;46.6;29.0;30.0;117.0;57.0;30.0;21.0;0;0;;;;;9776007
Nevlan Morju;Silrin FC;LaLiga Hypermotion;21;Pivote;2369;41;0;1;3.79;4.21;46.0;14.0;19.0;72.8;162.0;98.0;21.0;37.0;80.0;23.0;37.6;56.9;54.0;28.0;237.0;64.0;26.0;43.0;7;0;;;;;2626017
Hence Farnen;Silrin FC;LaLiga Hypermotion;24;Pivote;1507;24;0;0;2.98;0.9;29.0;11.0;12.0;71.7;54.0;31.0;31.0;12.0;8.0;50.0;31.5;53.9;13.0;28.0;112.0;27.0;4.0;26.0;5;0;;;;;6406280
Tordin Morvic;Silrin FC;LaLiga Hypermotion;34;Mediapunta;882;12;5;2;4.63;4.19;20.0;10.0;9.0;83.3;75.0;44.0;17.0;7.0;25.0;11.0;68.6;58.2;15.0;21.0;106.0;5.0;5.0;18.0;9;0;;;;;6903521
Belic Nevez;Silrin FC;LaLiga Hypermotion;26;DC;1302;16;0;1;1.86;0.84;24.0;9.0;8.0;70.7;26.0;15.0;5.0;17.0;4.0;40.0;43.0;66.2;29.0;29.0;155.0;35.0;11.0;15.0;3;0;;;;;8498114
Faric Ivaic;Silrin FC;LaLiga Hypermotion;19;Delantero centro;1555;19;9;4;11.6;2.95;41.0;13.0;13.0;84.7;134.0;81.0;16.0;20.0;98.0;8.0;48.3;56.2;46.0;36.0;102.0;19.0;8.0;9.0;7;0;;;;;22366773
Rosnen Sillan;Silrin FC;LaLiga Hypermotion;30;Extremo izquierdo;379;5;0;0;0.86;0.39;7.0;2.0;2.0;85.9;38.0;26.0;2.0;5.0;19.0;8.0;49.7;63.0;8.0;16.0;24.0;12.0;2.0;9.0;9;0;;;;;6926162
